Zone,Hour,DayType,DayOfWeek,Weather,Temperature,Humidity,Demand
Sector 2,23,Weekday,3,Heavy Rain,30,71,20.3
Sector 2,1,Weekend,6,Fog,19,52,3.5
Nehru Nagar,7,Weekday,4,Clear,41,45,52.2
Civic Center,15,Weekend,6,Rain,23,84,45.6
Sector 2,12,Weekend,5,Cloudy,35,52,37.9
Smriti Nagar,18,Weekday,1,Clear,18,94,53.5
Junwani,14,Weekend,6,Thunderstorm,33,61,38.0
Sector 7,23,Weekend,6,Heavy Rain,23,87,17.6
Bhilai 3,12,Weekday,3,Rain,35,36,53.6
Sector 2,22,Weekday,4,Clear,41,45,26.1
Padmanabhpur,23,Weekday,3,Fog,20,76,11.3
Sector 10,17,Weekday,3,Cloudy,31,64,48.9
Sector 6,5,Weekday,2,Thunderstorm,22,70,15.6
Nehru Nagar,22,Weekday,0,Fog,20,31,20.9
Sector 7,23,Weekday,4,Clear,38,35,12.7
Power House,2,Weekday,1,Rain,28,43,5.8
Sector 3,9,Weekday,1,Cloudy,35,50,37.3
Padmanabhpur,10,Weekday,4,Fog,13,63,34.1
Sector 3,18,Weekend,6,Clear,23,87,72.8
Civic Center,8,Weekday,4,Fog,13,63,60.9
Sector 6,3,Weekend,5,Fog,20,95,2.4
Supela,12,Weekday,4,Rain,31,82,61.1
Supela,7,Weekday,2,Rain,40,42,75.2
Bhilai 3,11,Weekend,6,Heavy Rain,38,39,36.1
Civic Center,0,Weekday,1,Cloudy,23,49,8.9
Nehru Nagar,5,Weekday,2,Clear,23,34,12.5
Sector 7,1,Weekday,3,Rain,31,46,7.5
Power House,15,Weekday,1,Rain,24,45,39.4
Sector 9,1,Weekend,6,Heavy Rain,32,36,4.2
Durg Station,1,Weekday,0,Rain,38,36,7.1
Junwani,4,Weekday,3,Rain,20,79,5.5
Supela,1,Weekday,2,Clear,31,77,7.4
Sector 5,13,Weekday,3,Rain,35,36,37.8
Sector 3,7,Weekday,0,Clear,42,59,38.4
Power House,15,Weekday,2,Thunderstorm,22,70,57.7
Sector 4,11,Weekday,3,Cloudy,14,37,28.9
Padmanabhpur,5,Weekday,2,Clear,31,77,10.5
Sector 8,0,Weekday,3,Fog,37,70,6.2
Sector 3,0,Weekend,5,Cloudy,35,52,7.3
Sector 3,0,Weekday,2,Clear,23,34,7.0
Sector 3,22,Weekday,3,Fog,14,37,19.0
Kohka,16,Weekday,2,Clear,23,34,32.1
Sector 1,14,Weekday,3,Rain,36,69,53.7
Sector 5,12,Weekday,3,Heavy Rain,39,85,49.3
Sector 9,16,Weekday,4,Clear,31,48,35.0
Padmanabhpur,6,Weekday,3,Rain,37,83,30.9
Sector 2,14,Weekend,6,Thunderstorm,32,36,44.8
Sector 6,22,Weekday,2,Clear,31,77,20.7
Sector 9,1,Weekend,5,Cloudy,34,42,4.3
Sector 3,15,Weekend,5,Cloudy,35,52,34.6
Sector 9,4,Weekday,2,Clear,27,64,3.6
Power House,8,Weekday,1,Cloudy,24,45,52.1
Kohka,8,Weekday,1,Clear,34,91,36.1
Sector 6,4,Weekday,4,Thunderstorm,30,76,6.3
Sector 8,17,Weekday,3,Rain,37,83,70.3
Nehru Nagar,9,Weekend,6,Rain,23,84,77.2
Nehru Nagar,16,Weekend,5,Clear,40,88,41.5
Sector 7,17,Weekday,1,Cloudy,38,47,60.5
Civic Center,3,Weekday,3,Thunderstorm,37,70,8.0
Sector 10,23,Weekday,2,Clear,27,64,8.1
Junwani,0,Weekend,6,Rain,21,31,8.3
Sector 8,22,Weekday,2,Clear,31,77,21.9
Junwani,17,Weekday,3,Rain,20,79,72.4
Sector 4,20,Weekday,3,Rain,39,85,41.8
Sector 8,3,Weekend,6,Clear,33,61,3.0
Power House,20,Weekday,2,Clear,36,47,29.2
Sector 4,19,Weekday,3,Cloudy,31,64,47.9
Nehru Nagar,19,Weekday,3,Rain,20,79,53.7
Nehru Nagar,18,Weekday,3,Heavy Rain,20,79,127.3
Sector 10,22,Weekday,3,Rain,36,69,19.2
Supela,2,Weekday,1,Clear,34,91,5.6
Power House,11,Weekday,0,Cloudy,31,66,30.1
Bhilai 3,9,Weekday,2,Rain,42,93,55.4
Junwani,16,Weekday,1,Cloudy,35,50,32.6
Sector 3,6,Weekday,0,Rain,38,36,31.1
Civic Center,1,Weekend,6,Clear,23,87,6.1
Power House,10,Weekday,3,Rain,20,79,37.1
Sector 4,7,Weekday,4,Clear,25,42,33.9
Durg Station,19,Weekday,2,Clear,23,34,67.5
Smriti Nagar,21,Weekend,6,Fog,15,68,21.8
Sector 9,6,Weekday,3,Clear,35,36,23.1
Sector 4,4,Weekend,5,Rain,36,41,4.2
Bhilai 3,7,Weekend,6,Heavy Rain,38,39,56.5
Nehru Nagar,9,Weekday,0,Clear,42,59,54.6
Sector 3,7,Weekday,0,Clear,41,37,41.9
Civic Center,5,Weekend,6,Rain,23,84,15.0
Smriti Nagar,4,Weekend,6,Thunderstorm,35,59,5.8
Durg Station,6,Weekday,1,Cloudy,35,71,33.5
Civic Center,9,Weekend,5,Thunderstorm,37,81,73.0
Padmanabhpur,6,Weekend,5,Thunderstorm,31,37,37.8
Nehru Nagar,16,Weekday,4,Clear,25,42,62.6
Junwani,16,Weekday,3,Cloudy,25,85,33.5
Padmanabhpur,14,Weekday,4,Fog,13,63,28.8
Power House,6,Weekday,1,Cloudy,24,45,22.7
Sector 9,6,Weekday,2,Thunderstorm,22,70,31.5
Sector 4,15,Weekend,5,Rain,36,41,32.3
Sector 2,23,Weekday,1,Heavy Rain,22,42,24.2
Supela,8,Weekday,2,Clear,36,47,76.8
Smriti Nagar,21,Weekday,4,Fog,13,63,26.8
Civic Center,12,Weekday,1,Cloudy,32,44,54.1
Sector 2,11,Weekday,2,Cloudy,36,95,41.8
Sector 5,7,Weekend,6,Cloudy,41,89,27.7
Bhilai 3,15,Weekend,6,Rain,21,31,39.4
Padmanabhpur,4,Weekday,0,Fog,13,59,3.6
Padmanabhpur,21,Weekday,4,Clear,25,42,32.4
Sector 6,12,Weekday,2,Rain,27,64,48.2
Sector 10,10,Weekday,2,Heavy Rain,34,48,41.1
Sector 9,21,Weekday,3,Rain,20,79,29.7
Sector 4,19,Weekend,5,Clear,27,74,46.0
Padmanabhpur,2,Weekday,4,Cloudy,25,51,3.3
Sector 3,11,Weekend,5,Cloudy,27,74,28.3
Sector 4,5,Weekday,2,Fog,20,34,8.8
Sector 4,16,Weekend,5,Fog,20,95,28.8
Sector 1,9,Weekday,0,Rain,38,36,80.7
Bhilai 3,23,Weekday,3,Rain,36,69,19.5
Kohka,0,Weekend,5,Clear,27,74,4.7
Sector 3,8,Weekday,1,Cloudy,35,50,63.6
Sector 9,12,Weekday,0,Heavy Rain,25,70,45.4
Sector 4,0,Weekend,6,Clear,33,61,6.7
Sector 4,20,Weekend,6,Clear,23,87,43.6
Bhilai 3,12,Weekday,3,Cloudy,31,64,33.4
Sector 5,11,Weekday,0,Thunderstorm,40,43,43.9
Sector 8,3,Weekday,0,Heavy Rain,40,43,3.7
Kohka,17,Weekend,6,Rain,23,84,67.0
Bhilai 3,3,Weekend,5,Clear,30,67,3.1
Bhilai 3,9,Weekday,3,Rain,36,69,71.7
Sector 8,22,Weekday,0,Cloudy,20,62,18.6
Civic Center,10,Weekday,3,Cloudy,25,85,40.9
Sector 10,14,Weekday,1,Cloudy,23,49,24.9
Kohka,12,Weekday,3,Thunderstorm,37,70,53.8
Kohka,15,Weekday,3,Rain,20,79,34.3
Sector 7,15,Weekend,5,Fog,20,95,29.9
Sector 1,0,Weekday,3,Rain,36,69,11.3
Bhilai 3,13,Weekend,6,Cloudy,41,89,27.6
Bhilai 3,10,Weekend,6,Fog,21,85,26.0
Sector 2,23,Weekday,1,Clear,21,52,14.2
Nehru Nagar,20,Weekday,4,Rain,34,60,64.7
Padmanabhpur,14,Weekday,4,Clear,27,52,29.4
Supela,17,Weekday,1,Fog,22,42,70.1
Sector 5,12,Weekday,0,Rain,33,85,41.6
Sector 4,13,Weekday,0,Rain,20,31,42.1
Kohka,3,Weekday,0,Fog,20,31,2.2
Smriti Nagar,4,Weekend,6,Clear,33,61,3.3
Smriti Nagar,21,Weekday,0,Thunderstorm,40,43,45.6
Civic Center,12,Weekday,0,Heavy Rain,25,70,88.0
Supela,13,Weekend,5,Clear,40,88,38.3
Kohka,14,Weekday,0,Cloudy,30,67,27.5
Sector 10,16,Weekday,0,Clear,42,59,35.4
Power House,16,Weekend,5,Thunderstorm,31,37,57.1
Sector 3,0,Weekend,6,Rain,21,31,7.7
Sector 9,13,Weekday,3,Rain,37,83,48.1
Junwani,7,Weekday,0,Thunderstorm,23,45,61.1
Smriti Nagar,0,Weekday,4,Rain,34,60,10.1
Nehru Nagar,8,Weekday,0,Thunderstorm,31,66,102.8
Sector 7,15,Weekday,0,Rain,33,85,51.9
Supela,12,Weekday,0,Rain,38,36,74.8
Sector 6,20,Weekday,0,Thunderstorm,42,59,49.0
Civic Center,10,Weekday,3,Rain,36,69,63.3
Sector 6,23,Weekday,2,Rain,40,42,15.0
Sector 4,21,Weekend,5,Clear,27,74,27.8
Bhilai 3,14,Weekday,2,Clear,21,66,32.6
Sector 10,2,Weekday,1,Fog,18,94,3.1
Sector 6,23,Weekday,1,Clear,21,52,13.5
Bhilai 3,0,Weekday,1,Thunderstorm,35,71,13.5
Sector 5,17,Weekday,0,Fog,13,59,42.9
Nehru Nagar,22,Weekend,5,Clear,40,88,32.1
Junwani,0,Weekday,0,Fog,13,59,5.9
Sector 1,21,Weekend,6,Clear,23,87,38.4
